global_key,conf_key,year,publisher,title,link
icse,conf/icse/2008c,2008,ACM,"30th International Conference on Software Engineering (ICSE 2008), Leipzig, Germany, May 10-18, 2008, Companion Volume",\N
icse,conf/icse/2008chase,2008,ACM,"Proceedings of the 2008 International Workshop on Cooperative and Human Aspects of Software Engineering, CHASE 2008, Leipzig, Germany, Tuesday, May 13, 2008",\N
icse,conf/icse/2008mise,2008,ACM,"International Workshop on Modeling in Software Engineering, MiSE 2008, Leipzig, Germany, May 10-11, 2008",http://dl.acm.org/citation.cfm?id=1370731
icse,conf/icse/2008seams,2008,ACM,"2008 ICSE Workshop on Software Engineering for Adaptive and Self-Managing Systems, SEAMS 2008, Leipzig, Germany, May 12-13, 2008",http://dl.acm.org/citation.cfm?id=1370018
icse,conf/icse/2008sess,2008,ACM,"Proceedings of the Fourth International Workshop on Software Engineering for Secure Systems, SESS 2008, Leipzig, Germany, May 17-18, 2008",http://dl.acm.org/citation.cfm?id=1370905
icse,conf/icse/2008shark,2008,ACM,"Proceedings of the 3rd International Workshop on Sharing and Reusing Architectural Knowledge, SHARK 2008, Leipzig, Germany, May 13, 2008",http://dl.acm.org/citation.cfm?id=1370062
icse,conf/icse/2008wads,2009,Springer,Architecting Dependable Systems VI,http://dx.doi.org/10.1007/978-3-642-10248-6
icse,conf/icse/2008wosq,2008,ACM,"Proceedings of the 6th international workshop on Software quality, WoSQ@ICSE 2008, Leipzig, Germany, May 10, 2008",http://doi.acm.org/10.1145/1370099
icse,conf/icse/2009,2009,IEEE,"31st International Conference on Software Engineering, ICSE 2009, May 16-24, 2009, Vancouver, Canada, Proceedings",\N
icse,conf/icse/2009ast,2009,IEEE Computer Society,"Proceedings of the 4th International Workshop on Automation of Software Test, AST 2009, Vancouver, BC, Canada, May 18-19, 2009.",https://www.computer.org/csdl/proceedings/ast/2009/3711/00/index.html
icse,conf/icse/2009c,2009,IEEE,"31st International Conference on Software Engineering, ICSE 2009, May 16-24, 2009, Vancouver, Canada, Companion Volume",\N
